193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:23:54 +0200] "GET /manager HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:23:54 +0200] "GET /manager/ HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:23:54 +0200] "GET /manager/html;jsessionid=17FB53338807FD32AABADF9C7C8931C1?org.apache.catalina.filters.CSRF_NONCE=E6BF6ADA1D62A85A381668867B53C082 HTTP/1.1" 401 2474 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:24:07 +0200] "GET /manager/html;jsessionid=17FB53338807FD32AABADF9C7C8931C1?org.apache.catalina.filters.CSRF_NONCE=E6BF6ADA1D62A85A381668867B53C082 HTTP/1.1" 200 2649 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:24:08 +0200] "GET /favicon.ico HTTP/1.1" 404 209 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:24:33 +0200] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:24:33 +0200] "GET /admin/users/login HTTP/1.1" 404 215 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
193.55.47.27 134.158.33.104 - - [13/Oct/2015:14:34:07 +0200] "GET /RSSAgregate/ HTTP/1.1" 200 596 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36" 
90.29.223.216 134.158.33.103 - - [13/Oct/2015:14:40:18 +0200] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1" 
90.29.223.216 134.158.33.103 - - [13/Oct/2015:14:40:18 +0200] "GET /admin/users/login HTTP/1.1" 404 215 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1" 
90.29.223.216 134.158.33.103 - - [13/Oct/2015:14:40:18 +0200] "GET /favicon.ico HTTP/1.1" 404 209 "http://geomedia.huma-num.fr/admin/users/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1" 
